PCode,PCode Name,Governorate,District,Cadastral,Local Name,Latitude,Longitude,Shelter Type,Status,Number of tents,Number of Individuals,Date of update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Number of 1000 Litre Tanks,Type of Water Source,Waste Disposal,Type of Contract
#loc+code,#loc,#adm1,#adm2,#adm3,#loc+localname,#geo+lat,#geo+lon,#shelter+type,#status,#shelter+tents,#population,#date,#org,#date+updated,#date+discovered,#date+created,#wash+latrines,#wash+water+tanks,#wash+watersource,#wash+wastedisposal,#shelter+contracttype
21394-01-001,Salima Baabda 001,Mount Lebanon,Baabda,Salima Baabda,Salima,33.87413,35.70763,IS- Informal Settlement,Less than 4,3,11,1/4/16,PU-AMI,Last Update - 2015,8/30/15,5/28/14,0,0,Spring,Municipality Collection,None
22423-01-001,Aain Saad‚ 001,Mount Lebanon,El Metn,Aain Saad‚,Ain Saade,33.86484,35.60031,IS- Informal Settlement,Less than 4,2,11,2/23/16,PU-AMI,First Update - 2016,10/28/15,1/1/11,2,2,Water Network,Municipality Collection,None
22711-01-002,Mtain 002,Mount Lebanon,El Metn,Mtain,Mtein,33.8978,35.76062,IS- Informal Settlement,Less than 4,1,7,2/23/16,PU-AMI,First Update - 2016,10/30/15,12/1/12,1,0,Water Network,Burn it,None
22724-01-001,Bnabil 001,Mount Lebanon,El Metn,Bnabil,Bnabil IS,33.89802,35.73252,IS- Informal Settlement,Active,11,50,2/24/16,PU-AMI,First Update - 2016,4/3/14,1/3/12,9,7,Spring,Burn it,Verbal
23111-01-001,Damour 001,Mount Lebanon,Chouf,Damour,Mshref ITS,33.71664,35.45842,IS- Informal Settlement,Less than 4,2,21,2/17/16,PU-AMI,First Update - 2016,1/4/14,3/1/11,2,2,Borehole,Municipality Collection,None
23111-01-002,Damour 002,Mount Lebanon,Chouf,Damour,Damour,33.70951,35.44519,IS- Informal Settlement,Less than 4,2,10,2/17/16,PU-AMI,First Update - 2016,10/21/15,10/1/12,1,1,Water Network,Burn it,None
23111-01-003,Damour 003,Mount Lebanon,Chouf,Damour,Damour,33.71647,35.4567,IS- Informal Settlement,Less than 4,2,17,2/17/16,PU-AMI,First Update - 2016,10/21/15,3/1/11,2,2,Borehole,Municipality Collection,None
23111-01-004,Damour 004,Mount Lebanon,Chouf,Damour,Damour,33.71648,35.44559,IS- Informal Settlement,Less than 4,1,10,2/17/16,PU-AMI,First Update - 2016,10/21/15,11/21/13,1,2,Borehole,Burn it,None
23111-01-005,Damour 005,Mount Lebanon,Chouf,Damour,Damour,33.7154,35.44703,IS- Informal Settlement,Less than 4,2,13,2/17/16,PU-AMI,First Update - 2016,11/2/15,7/1/15,2,1,Water Network,Burn it,None
23111-01-006,Damour 006,Mount Lebanon,Chouf,Damour,Damour,33.7277,35.45023,IS- Informal Settlement,Less than 4,1,5,2/17/16,PU-AMI,First Update - 2016,12/18/15,1/1/14,1,0,Borehole,Municipality Collection,None
23141-01-001,Naam‚ 001,Mount Lebanon,Chouf,Naam‚,Naame,33.73969,35.45408,IS- Informal Settlement,Less than 4,1,6,2/17/16,PU-AMI,First Update - 2016,12/17/15,9/30/12,1,1,Water Trucking,Municipality Collection,None
23141-01-002,Naam‚ 002,Mount Lebanon,Chouf,Naam‚,Naame,33.73693,35.45223,IS- Informal Settlement,Active,11,70,2/17/16,PU-AMI,First Update - 2016,12/18/15,7/1/11,10,8,River,Municipality Collection,None
23141-01-003,Naam‚ 003,Mount Lebanon,Chouf,Naam‚,Naame,33.73466,35.45276,IS- Informal Settlement,Less than 4,2,9,2/17/16,PU-AMI,First Update - 2016,12/18/15,10/5/12,2,2,Borehole,Municipality Collection,None
23231-01-001,Ketermaya 001,Mount Lebanon,Chouf,Ketermaya,Katermaya 1,33.61921,35.45635,IS- Informal Settlement,Active,49,333,1/11/16,PU-AMI,Last Update - 2015,4/4/14,1/1/12,0,0,Water Network,Burn it,None
23239-01-001,Aanout 001,Mount Lebanon,Chouf,Aanout,Aanout - Al Dafran ITS,33.63086,35.52425,IS- Informal Settlement,Active,6,48,12/15/15,PU-AMI,Last Update - 2015,1/4/14,12/19/12,0,0,Water Network,Burn it,Verbal
23239-01-002,Aanout 002,Mount Lebanon,Chouf,Aanout,Aanout New,33.62548,35.52052,IS- Informal Settlement,Less than 4,1,6,12/15/15,PU-AMI,Last Update - 2015,8/13/15,6/1/15,0,0,Water Network,Municipality Collection,None
